learning_rate,epoch,training_loss,training_error,test_loss,test_error
0.050000,3,0.062702,10.039775,0.070312,11.459890
0.050000,4,0.062432,9.738033,0.063882,10.413552
0.050000,5,0.053331,8.147031,0.056463,8.669656
0.050000,6,0.055748,8.777946,0.062805,9.815645
0.050000,7,0.058732,9.120834,0.067789,11.011460
0.050000,8,0.042798,6.364010,0.050768,8.171400
0.050000,9,0.042236,6.405157,0.053930,8.221226
0.050000,10,0.049366,7.529831,0.056771,8.918784
0.050000,11,0.038854,5.664518,0.048094,7.424016
0.050000,12,0.041160,6.309148,0.052717,8.619830
0.050000,13,0.038564,5.829104,0.049731,7.922272
0.050000,14,0.038922,5.870251,0.050104,7.573493
0.050000,15,0.033582,5.033603,0.047455,7.324365
0.050000,16,0.040419,5.897682,0.045795,6.676632
0.050000,17,0.046977,7.104650,0.055346,8.420528
0.050000,18,0.045297,6.871485,0.059821,9.317389
0.050000,19,0.038278,5.445069,0.049061,7.573493
0.050000,20,0.040383,6.007406,0.053088,8.071749
0.050000,21,0.047970,7.200658,0.058777,8.868958
0.050000,22,0.034333,4.965025,0.046912,7.274539
0.050000,23,0.030697,4.539844,0.043626,6.527155
0.050000,24,0.046082,7.022357,0.054129,8.420528
0.050000,25,0.032149,4.773008,0.044382,6.776283
0.050000,26,0.032722,4.869017,0.045074,6.776283
0.050000,27,0.035510,5.088465,0.049343,7.523667
0.050000,28,0.035279,5.595940,0.050127,7.573493
0.050000,29,0.053223,7.776711,0.063210,9.566517
0.050000,30,0.032949,4.759292,0.047778,6.875934
0.050000,31,0.031747,4.690714,0.047448,7.274539
0.050000,32,0.051915,7.762995,0.057244,8.968610
0.050000,33,0.047501,7.022357,0.060471,9.018435
0.050000,34,0.031863,4.635852,0.045338,7.125062
0.050000,35,0.032605,4.759292,0.051401,7.922272
0.050000,36,0.031339,4.622137,0.046019,6.676632
0.050000,37,0.038130,5.691949,0.056968,9.167912
0.050000,38,0.035224,5.294199,0.049126,7.573493
0.050000,39,0.037647,5.513647,0.049857,7.922272
0.050000,40,0.038097,5.678234,0.055012,8.719481
0.050000,41,0.037079,5.527362,0.053707,8.121574
0.050000,42,0.034522,5.362776,0.046679,7.224713
0.050000,43,0.037619,5.815389,0.049406,7.374190
0.050000,44,0.042693,6.322864,0.055891,8.470354
0.050000,45,0.039003,5.911397,0.056273,8.470354
0.050000,46,0.039517,6.089700,0.055319,9.217738
0.050000,47,0.036779,5.554793,0.049859,7.822621
0.050000,48,0.048044,6.967494,0.058748,8.819133
0.050000,49,0.044173,6.816623,0.056578,8.819133
0.050000,50,0.037204,5.691949,0.052932,7.922272
0.050000,51,0.037286,5.554793,0.050273,7.573493
